binary_accuracy,loss,mae,val_binary_accuracy,val_loss,val_mae
0.9030851125717163,0.019948575645685196,0.11602485924959183,0.9130040407180786,0.012023412622511387,0.11763099581003189
0.9106743335723877,0.012507420964539051,0.10188804566860199,0.9135516881942749,0.010613776743412018,0.09654948860406876
0.9114978909492493,0.011049940250813961,0.09640204161405563,0.9138506650924683,0.010019387118518353,0.09180502593517303
0.9119242429733276,0.010244171135127544,0.09213946759700775,0.9141123294830322,0.009542922489345074,0.09334342181682587
0.9121919274330139,0.009803520515561104,0.09000461548566818,0.9142464399337769,0.009438814595341682,0.09778249263763428
0.912375271320343,0.009482162073254585,0.08786436170339584,0.9142061471939087,0.009452050551772118,0.10335429757833481
0.9124963283538818,0.009240434505045414,0.08625006675720215,0.9144040942192078,0.009214459918439388,0.1052083894610405
0.9126060605049133,0.009045503102242947,0.08444933593273163,0.914427638053894,0.008919551968574524,0.09763026982545853
0.9126976728439331,0.00886726938188076,0.08282894641160965,0.9144362211227417,0.008846036158502102,0.08943970501422882
0.9127928614616394,0.008739400655031204,0.08176270127296448,0.9143734574317932,0.008910037577152252,0.09607187658548355
0.9128567576408386,0.008618722669780254,0.08090275526046753,0.9147261381149292,0.008574994280934334,0.09672395139932632
0.9129177927970886,0.008525766432285309,0.07979252934455872,0.9146191477775574,0.00871698185801506,0.10043953359127045
0.9129680395126343,0.00841741543263197,0.07863613218069077,0.9146174192428589,0.008965925313532352,0.09930075705051422
0.9130345582962036,0.008323811925947666,0.07751864194869995,0.9147807359695435,0.00866204034537077,0.10041114687919617
0.9130760431289673,0.008253212086856365,0.0764479711651802,0.9148320555686951,0.008238166570663452,0.07483181357383728
0.9131264090538025,0.008194311521947384,0.0758780688047409,0.9147584438323975,0.008426285348832607,0.09183549880981445
0.9131736755371094,0.008139180950820446,0.07523486763238907,0.914876401424408,0.00827306229621172,0.08006739616394043
0.9131995439529419,0.008081886917352676,0.07420945167541504,0.9148545861244202,0.008117676712572575,0.07698782533407211
0.9132201075553894,0.00803479366004467,0.07391577214002609,0.9147360920906067,0.008454947732388973,0.08026696741580963
0.9132524132728577,0.007988967001438141,0.07347390055656433,0.9149214029312134,0.008133802562952042,0.09098652005195618
0.9132710695266724,0.007961781695485115,0.07280877232551575,0.9149919152259827,0.008091461844742298,0.07998330146074295
0.9132933616638184,0.00792346615344286,0.07234083861112595,0.9151092767715454,0.007868840359151363,0.07609917968511581
0.9133126139640808,0.007886390201747417,0.07197030633687973,0.9151122570037842,0.007948801852762699,0.09076628088951111
0.9133245348930359,0.007867475040256977,0.0716686025261879,0.9150673151016235,0.007805926725268364,0.07369425147771835
0.9133573770523071,0.007830753922462463,0.07097600400447845,0.9151403307914734,0.007751259487122297,0.07704038918018341
0.9133536219596863,0.007810309063643217,0.07087322324514389,0.9150725603103638,0.00814612302929163,0.0981527715921402
0.9133723974227905,0.007783403154462576,0.07056380063295364,0.9151726365089417,0.0077103194780647755,0.07554492354393005
0.9134006500244141,0.007772521115839481,0.0704115554690361,0.9151645302772522,0.007708344608545303,0.0777697041630745
0.9134035706520081,0.007744185160845518,0.06980951875448227,0.9151081442832947,0.007732825819402933,0.07073036581277847
