Time,GeneralEvent,Forehead_Acc_X,Forehead_Acc_Y,Forehead_Acc_Z,Forehead_Gyr_X,Forehead_Gyr_Y,Forehead_Gyr_Z
0.71 sec,Standing,1.501412,-9.730277,0.338468,-0.086798,-0.09928,0.001015
0.72 sec,Standing,1.423845,-9.805173,0.310918,-0.089394,-0.087801,0.001124
0.73 sec,Standing,1.447193,-9.81232,0.296487,-0.086771,-0.083066,-0.003538
0.74 sec,Standing,1.44558,-9.804707,0.263944,-0.084222,-0.073231,-0.005272
0.75 sec,Standing,1.422705,-9.871041,0.234492,-0.085121,-0.068691,-0.012117
0.76 sec,Standing,1.432055,-9.848977,0.232173,-0.078886,-0.064061,-0.0127
0.77 sec,Standing,1.441738,-9.826854,0.23038,-0.076354,-0.059013,-0.019187
0.78 sec,Standing,1.42318,-9.827751,0.249763,-0.075717,-0.054526,-0.020184
0.79 sec,Standing,1.433002,-9.80562,0.248474,-0.073167,-0.048012,-0.014895
0.8 sec,Standing,1.434668,-9.80557,0.240713,-0.0711,-0.04806,-0.016698
0.81 sec,Standing,1.402999,-9.812807,0.208272,-0.066312,-0.047,-0.014258
0.82 sec,Standing,1.421705,-9.849583,0.212773,-0.062051,-0.04263,-0.011177
0.83 sec,Standing,1.390511,-9.783845,0.206457,-0.057353,-0.041261,-0.010584
0.84 sec,Standing,1.359659,-9.691044,0.287837,-0.055379,-0.040996,-0.014233
0.85 sec,Standing,1.409557,-9.712606,0.295227,-0.055594,-0.048479,-0.015802
0.86 sec,Standing,1.481808,-9.614033,0.237884,-0.058762,-0.046581,-0.01757
0.87 sec,Standing,1.561056,-9.539427,0.248732,-0.071278,-0.037876,-0.010946
0.88 sec,Standing,1.54475,-9.656495,0.202095,-0.075831,-0.030018,-0.000104
0.89 sec,Standing,1.531287,-9.708754,0.203019,-0.086838,-0.022821,0.000579
0.9 sec,Standing,1.487258,-9.730109,0.139526,-0.086284,-0.021362,0.004719
0.91 sec,Standing,1.456092,-9.745492,0.129007,-0.081248,-0.02267,0.000952
0.92 sec,Standing,1.480405,-9.833311,0.113159,-0.081784,-0.019359,0.001578
0.93 sec,Standing,1.472242,-9.855432,0.09831,-0.073644,-0.017489,0.00253
0.94 sec,Standing,1.461465,-9.869423,0.061128,-0.071268,-0.010369,0.004174
0.95 sec,Standing,1.442769,-9.905347,0.017511,-0.063689,-0.009949,0.000964
0.96 sec,Standing,1.461085,-9.86955,0.048444,-0.052475,-0.009665,0.001822
0.97 sec,Standing,1.473556,-9.890165,0.008456,-0.050503,-0.009385,-0.001814
0.98 sec,Standing,1.459024,-9.861352,0.015328,-0.049157,-0.005476,-0.006645
0.99 sec,Standing,1.501006,-9.832262,0.042704,-0.042807,-0.001165,-0.00528
1 sec,Standing,1.536883,-9.85951,-0.001171,-0.042067,0.003004,-0.004351
1.01 sec,Standing,1.583115,-9.872971,-0.014907,-0.038786,0.008897,-0.00287
1.02 sec,Standing,1.565445,-9.836053,-0.02921,-0.034902,0.020977,0.007627
1.03 sec,Standing,1.579866,-9.864859,-0.043935,-0.028843,0.026253,0.00344
1.04 sec,Standing,1.57384,-9.895131,-0.030319,-0.025094,0.033907,0.007247
1.05 sec,Standing,1.522255,-9.865264,-0.067604,-0.014404,0.037493,0.008793
1.06 sec,Standing,1.490688,-9.854646,0.017269,-0.008857,0.042701,0.012217
1.07 sec,Standing,1.476668,-9.860306,-0.03543,-0.002974,0.045248,0.011272
1.08 sec,Standing,1.411271,-9.882633,-0.061918,0.004805,0.045026,0.011799
1.09 sec,Standing,1.397553,-9.862316,-0.025631,0.012583,0.044804,0.012327
1.1 sec,Standing,1.373401,-9.85572,-0.018665,0.017821,0.042859,0.012302
1.11 sec,Standing,1.359765,-9.835364,0.019041,0.02975,0.042558,0.009299
1.12 sec,Standing,1.323137,-9.808206,0.062217,0.031735,0.039468,0.012617
1.13 sec,Standing,1.369137,-9.749181,0.082529,0.038398,0.036365,0.0048
1.14 sec,Standing,1.41445,-9.762801,0.077015,0.035418,0.037629,0.006745
1.15 sec,Standing,1.449279,-9.764104,0.12901,0.034978,0.040616,0.009242
1.16 sec,Standing,1.476781,-9.740843,0.112159,0.029298,0.045551,0.011748
1.17 sec,Standing,1.467348,-9.762995,0.108809,0.031856,0.052026,0.01711
1.18 sec,Standing,1.419957,-9.749571,0.121752,0.023153,0.048725,0.011919
1.19 sec,Standing,1.420865,-9.757909,0.147836,0.02857,0.046137,0.015609
1.2 sec,Standing,1.396501,-9.751252,0.155802,0.024048,0.047503,0.011709
1.21 sec,Standing,1.410936,-9.707468,0.172826,0.022514,0.048992,0.017631
1.22 sec,Standing,1.371126,-9.672071,0.191924,0.017893,0.047314,0.018831
1.23 sec,Standing,1.363365,-9.702449,0.209966,0.01426,0.044092,0.021701
1.24 sec,Standing,1.327873,-9.709721,0.186522,0.010377,0.046585,0.023821
1.25 sec,Standing,1.315282,-9.723836,0.158272,0.012174,0.044138,0.023444
1.26 sec,Standing,1.308155,-9.681487,0.201487,0.007834,0.044866,0.023249
1.27 sec,Standing,1.292253,-9.73384,0.21168,0.008557,0.044281,0.01935
1.28 sec,Standing,1.273384,-9.697062,0.201827,0.007927,0.043154,0.013323
1.29 sec,Standing,1.290123,-9.661432,0.239887,0.002935,0.039393,0.014065
1.3 sec,Standing,1.301116,-9.65592,0.293382,-0.00059,0.039217,0.011834
1.31 sec,Standing,1.266889,-9.663024,0.268111,-0.00792,0.036459,0.008775
1.32 sec,Standing,1.326898,-9.705717,0.246755,-0.011359,0.035964,0.008397
1.33 sec,Standing,1.318001,-9.727821,0.23913,-0.010091,0.036825,0.008668
1.34 sec,Standing,1.324874,-9.706023,0.245606,-0.012093,0.036552,0.012273
1.35 sec,Standing,1.296946,-9.73762,0.288149,-0.013733,0.033607,0.011533
1.36 sec,Standing,1.276509,-9.692655,0.252952,-0.016271,0.031888,0.010974
1.37 sec,Standing,1.241702,-9.673457,0.313744,-0.017379,0.025632,0.009599
1.38 sec,Standing,1.227061,-9.725685,0.321102,-0.017015,0.022962,0.005253
1.39 sec,Standing,1.230234,-9.687508,0.280819,-0.020208,0.016752,0.005634
1.4 sec,Standing,1.237592,-9.665686,0.28615,-0.019963,0.011036,0.006392
1.41 sec,Standing,1.245242,-9.643844,0.291058,-0.028354,0.01015,-0.000205
1.42 sec,Standing,1.247033,-9.652161,0.311095,-0.033101,0.005429,0.00609
1.43 sec,Standing,1.258506,-9.592016,0.276216,-0.037155,0.003814,-0.000311
1.44 sec,Standing,1.290499,-9.657972,0.27193,-0.042068,-0.000266,0.002272
1.45 sec,Standing,1.309056,-9.648555,0.217231,-0.048208,0.002918,0.002421
1.46 sec,Standing,1.285985,-9.641809,0.216922,-0.053368,-0.000196,-0.000562
1.47 sec,Standing,1.311236,-9.657013,0.229843,-0.058161,-0.001224,-0.003089
1.48 sec,Standing,1.309465,-9.64885,0.201059,-0.063772,-0.001349,-0.003587
1.49 sec,Standing,1.284852,-9.63379,0.176328,-0.069467,-0.00115,-0.005942
1.5 sec,Standing,1.313494,-9.683067,0.122807,-0.0759,-0.005118,-0.009225
1.51 sec,Standing,1.336056,-9.762519,0.084477,-0.076478,-0.005191,-0.001656
1.52 sec,Standing,1.292547,-9.757172,0.109002,-0.076649,-0.004537,-0.005382
1.53 sec,Standing,1.283053,-9.770738,0.071187,-0.079563,-0.008335,-0.006438
1.54 sec,Standing,1.313635,-9.828176,0.03962,-0.076785,-0.012334,-0.005151
1.55 sec,Standing,1.325037,-9.840088,-0.025505,-0.072901,-0.01482,-0.007283
1.56 sec,Standing,1.325804,-9.839963,-0.032777,-0.071351,-0.011548,-0.008401
1.57 sec,Standing,1.332459,-9.809539,-0.055174,-0.065745,-0.011421,-0.007922
1.58 sec,Standing,1.285115,-9.787353,-0.07495,-0.058867,-0.010436,-0.007151
1.59 sec,Standing,1.324971,-9.750239,-0.071044,-0.063217,-0.01443,-0.012204
1.6 sec,Standing,1.284818,-9.753278,-0.022188,-0.057409,-0.016286,-0.019781
1.61 sec,Standing,1.274381,-9.75797,-0.081132,-0.060156,-0.020745,-0.017142
1.62 sec,Standing,1.254654,-9.831729,-0.086609,-0.058814,-0.029665,-0.024684
1.63 sec,Standing,1.313068,-9.831556,-0.071821,-0.055128,-0.034892,-0.023586
1.64 sec,Standing,1.359097,-9.836257,-0.109644,-0.04927,-0.040485,-0.022382
1.65 sec,Standing,1.430189,-9.856191,-0.128952,-0.044028,-0.042438,-0.022372
1.66 sec,Standing,1.471023,-9.818883,-0.123626,-0.040419,-0.042612,-0.018285
1.67 sec,Standing,1.505416,-9.812055,-0.102977,-0.044871,-0.040248,-0.008585
1.68 sec,Standing,1.512206,-9.934677,-0.154384,-0.041141,-0.032622,-0.004728
1.69 sec,Standing,1.480403,-9.868804,-0.156849,-0.031801,-0.029584,-0.005213
1.7 sec,Standing,1.449923,-9.883792,-0.162774,-0.025285,-0.03068,-0.004905
1.71 sec,Standing,1.467757,-9.920807,-0.154906,-0.019844,-0.02988,-0.008114
1.72 sec,Standing,1.482858,-9.79616,-0.137594,-0.01024,-0.027851,-0.003037
1.73 sec,Standing,1.483015,-9.796114,-0.139182,-0.01413,-0.025376,-0.000916
1.74 sec,Standing,1.48973,-9.846578,-0.160069,-0.003698,-0.019522,0.006974
1.75 sec,Standing,1.370385,-9.852006,-0.098415,0.00038,-0.017958,0.013404
1.76 sec,Standing,1.35174,-9.815048,-0.108877,0.006247,-0.023552,0.014601
1.77 sec,Standing,1.341236,-9.756222,-0.111617,0.007503,-0.027406,0.010036
1.78 sec,Standing,1.329804,-9.769671,-0.141427,0.007679,-0.028078,0.013736
1.79 sec,Standing,1.338683,-9.756581,-0.110839,0.008579,-0.029301,0.013542
1.8 sec,Standing,1.349864,-9.776833,-0.145428,0.008385,-0.032053,0.016759
1.81 sec,Standing,1.35859,-9.763768,-0.11494,0.007552,-0.035878,0.013941
1.82 sec,Standing,1.349385,-9.785783,-0.121907,0.010569,-0.028994,0.009928
1.83 sec,Standing,1.367921,-9.831643,-0.088195,0.007123,-0.029484,0.009533
1.84 sec,Standing,1.390944,-9.766264,-0.065139,0.018357,-0.029236,0.010509
1.85 sec,Standing,1.382052,-9.78824,-0.071328,0.014202,-0.025751,0.007086
